Nombre_del_jugador,Club_del_Jugador,Part_jugados,puntos_clarin,Promedio_Puntos_Clarin,Puntos_Gran_DT,Promedio_Puntos_Gran_DT,Gol_de_Penal,Gol_en_Contra,Gol,Figura_de_la_cancha,Tarjeta_Amarilla,Tarjeta_roja,Penal_Errado,Valla_Invicta,Gol_de_Oro,Penal_atajado,Goles_recibidos
Acosta  Lautaro,Lanus,3,10,3.33,10,3.33,0,0,0,0,0,0,0,,0,,
Allende  Tadeo,Godoy Cruz,4,18,4.5,18,4.5,0,0,0,0,0,0,0,,0,,
Apaolaza  Francisco,Arsenal,4,10,2.5,10,2.5,0,0,0,0,0,0,0,,0,,
Arias  Junior,Barracas Ctral.,3,13,4.33,13,4.33,0,0,0,0,0,0,0,,0,,
Blandi  Nicolas,San Lorenzo,2,10,5,10,5,0,0,0,0,0,0,0,,0,,
Contreras  Rodrigo,Platense,4,5,1.25,7,1.75,0,0,1,0,1,0,0,,0,,
Delgadillo  Nicolas,Platense,3,15,5,15,5,0,0,0,0,0,0,0,,0,,
Fernandez  Leandro,Independiente,6,26,4.33,22,3.67,0,0,0,0,2,0,0,,0,,
Funez  Nazareno,Newell's,2,5,2.5,9,4.5,0,0,1,0,0,0,0,,0,,
Godoy  Matias,Talleres,3,12,4,12,4,0,0,0,0,0,0,0,,0,,
Herrera  Jonathan,Patronato,6,17,2.83,17,2.83,0,0,0,0,0,0,0,,0,,
Isnaldo  Eugenio,Atl. Tucuman,5,9,1.8,9,1.8,0,0,0,0,0,0,0,,0,,
Kaprof  Juan,Ctral. Cordoba,4,14,3.5,14,3.5,0,0,0,0,0,0,0,,0,,
Lago  Ignacio,Talleres,3,14,4.67,14,4.67,0,0,0,0,0,0,0,,0,,
Marinelli  Alan,Estudiantes,4,9,2.25,9,2.25,0,0,0,0,0,0,0,,0,,
Menendez  Cristian,Atl. Tucuman,4,8,2,8,2,0,0,0,0,0,0,0,,0,,
Montoya  Walter,Rosario Ctral.,6,29,4.83,27,4.5,0,0,0,0,1,0,0,,0,,
Obando  Agustin,Tigre,5,9,1.8,9,1.8,0,0,0,0,0,0,0,,0,,
Orozco  Franco,Lanus,3,5,1.67,5,1.67,0,0,0,0,0,0,0,,0,,
Orsini  Nicolas,Boca,3,5,1.67,3,1,0,0,0,0,1,0,0,,0,,
Ramos  Leonardo,Union,4,15,3.75,15,3.75,0,0,0,0,0,0,0,,0,,
Reasco  Djorkaeff,Newell's,3,10,3.33,10,3.33,0,0,0,0,0,0,0,,0,,
Riaño  Claudio,Ctral. Cordoba,3,9,3,7,2.33,0,0,0,0,1,0,0,,0,,
Romero  Braian,River,5,14,2.8,18,3.6,0,0,1,0,0,0,0,,0,,
Rios  Andres,Aldosivi,4,9,2.25,9,2.25,0,0,0,0,0,0,0,,0,,
Santos  Michael,Talleres,2,5,2.5,5,2.5,0,0,0,0,0,0,0,,0,,
Soldano  Franco,Gimnasia L.P.,5,13,2.6,13,2.6,0,0,0,0,0,0,0,,0,,
